danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
0.497,0.912,0.033,4.23e-05,0.00026,0.788,0.474,150.033,7
0.326,0.902,0.0506,0.000202,0.00761,0.35,0.223,173.948,7
0.477,0.94,0.0619,0.000297,0.0596,0.195,0.691,168.028,7
0.316,0.848,0.0335,4.02e-05,0.00716,0.623,0.356,175.895,7
0.578,0.477,0.04,0.459,0.281,0.269,0.969,156.649,7
0.675,0.41,0.0459,0.834,6.37e-05,0.0939,0.503,80.279,7
0.64,0.555,0.0303,0.695,2.02e-06,0.265,0.884,126.731,7
0.584,0.389,0.0407,0.824,0.000391,0.143,0.413,133.457,7
0.602,0.397,0.0412,0.627,0.0715,0.154,0.662,95.071,7
0.74,0.46,0.0392,0.64,0.00123,0.0827,0.553,115.745,7
0.58,0.407,0.053,0.0126,0.0246,0.048,0.86,121.462,7
0.706,0.386,0.0606,0.518,0.0,0.115,0.74,113.88,7
0.702,0.561,0.0313,0.344,0.0,0.175,0.757,134.935,7
0.837,0.506,0.0402,0.238,0.0,0.0923,0.911,121.64,7
0.595,0.43,0.0324,0.713,0.000171,0.0949,0.314,88.338,7
0.57,0.434,0.0481,0.446,0.0023,0.975,0.525,117.869,7
0.585,0.937,0.0725,0.0289,0.494,0.759,0.662,116.024,7
0.601,0.771,0.0422,0.0567,0.0769,0.963,0.762,115.349,7
0.684,0.737,0.0421,0.272,0.00885,0.834,0.826,119.958,7
0.536,0.867,0.0617,0.0589,0.00166,0.851,0.551,98.917,7
0.762,0.429,0.0595,0.439,0.00782,0.921,0.648,113.018,7
0.61,0.519,0.0528,0.415,0.0169,0.974,0.235,116.2,7
0.858,0.546,0.0537,0.331,0.0278,0.0543,0.824,102.998,7
0.699,0.784,0.0598,0.119,0.00239,0.0752,0.809,179.99,7
0.808,0.456,0.0282,0.664,0.00585,0.109,0.383,111.034,7
0.899,0.388,0.0461,0.345,0.0259,0.0665,0.69,91.506,7
0.832,0.554,0.0441,0.17,0.0495,0.0796,0.859,139.978,7
0.866,0.457,0.0505,0.129,0.0951,0.215,0.637,116.281,7
0.828,0.538,0.0526,0.199,0.108,0.0782,0.651,120.082,7
0.901,0.335,0.0505,0.146,0.0253,0.0856,0.8,115.198,7
0.781,0.321,0.046,0.263,0.0227,0.0976,0.534,95.104,7
0.748,0.487,0.0425,0.047,0.0282,0.326,0.379,80.144,7
0.24,0.546,0.0548,0.0898,0.00648,0.0898,0.429,181.373,7
0.328,0.575,0.0439,0.351,0.000556,0.688,0.249,149.645,7
0.375,0.956,0.175,0.144,7.6e-06,0.417,0.381,175.04,7
0.529,0.452,0.136,0.534,0.000151,0.301,0.539,78.196,7
